Slang,Makna,No_Konteks,Konteks
men,kawan,12,"Bicara sm orang dewasa yg udah depresi, bikin sedih yaa. Semoga jiwa dan raga kita tetap sehat ya men."
chat,obrolan,13,Gua masi depresi chat gyq samq pqel ke delet semha
gyq,aku,13,Gua masi depresi chat gyq samq pqel ke delet semha
samq,sampai,13,Gua masi depresi chat gyq samq pqel ke delet semha
pqel,pegal,13,Gua masi depresi chat gyq samq pqel ke delet semha
delet,hapus,13,Gua masi depresi chat gyq samq pqel ke delet semha
semha,semua,13,Gua masi depresi chat gyq samq pqel ke delet semha
netizen,warganet,14,"Netizen indo makin parah aja yaa. Segala #chika20jt lah fitnah paling parah sih, trus nyocok2in amanda sama arya lah, sampe istrinya arya si anne depresi ganti nama IG. Netizen indo banyak yang kacau mulutnya.."
indo,indonesia,14,"Netizen indo makin parah aja yaa. Segala #chika20jt lah fitnah paling parah sih, trus nyocok2in amanda sama arya lah, sampe istrinya arya si anne depresi ganti nama IG. Netizen indo banyak yang kacau mulutnya.."
chikajt,,14,"Netizen indo makin parah aja yaa. Segala #chika20jt lah fitnah paling parah sih, trus nyocok2in amanda sama arya lah, sampe istrinya arya si anne depresi ganti nama IG. Netizen indo banyak yang kacau mulutnya.."
nyocokin,mencocokan,14,"Netizen indo makin parah aja yaa. Segala #chika20jt lah fitnah paling parah sih, trus nyocok2in amanda sama arya lah, sampe istrinya arya si anne depresi ganti nama IG. Netizen indo banyak yang kacau mulutnya.."
amanda,,14,"Netizen indo makin parah aja yaa. Segala #chika20jt lah fitnah paling parah sih, trus nyocok2in amanda sama arya lah, sampe istrinya arya si anne depresi ganti nama IG. Netizen indo banyak yang kacau mulutnya.."
sampe,sampai,14,"Netizen indo makin parah aja yaa. Segala #chika20jt lah fitnah paling parah sih, trus nyocok2in amanda sama arya lah, sampe istrinya arya si anne depresi ganti nama IG. Netizen indo banyak yang kacau mulutnya.."
anne,,14,"Netizen indo makin parah aja yaa. Segala #chika20jt lah fitnah paling parah sih, trus nyocok2in amanda sama arya lah, sampe istrinya arya si anne depresi ganti nama IG. Netizen indo banyak yang kacau mulutnya.."
ig,instagram,14,"Netizen indo makin parah aja yaa. Segala #chika20jt lah fitnah paling parah sih, trus nyocok2in amanda sama arya lah, sampe istrinya arya si anne depresi ganti nama IG. Netizen indo banyak yang kacau mulutnya.."
healing,penyembuhan,16,@ditamoechtar_ Kalo aku sok healing begini aku bukan healing tapi aku mencoba bundir jalur depresi
kle,kalau,17,"/kle tk-smp di kamboja, sma bawaannya pengen lanjut di smapan aja. vibes kamboja vibes2 depresi sama mati muda banget hectic nya (menangis)"
smp,sampai,17,"/kle tk-smp di kamboja, sma bawaannya pengen lanjut di smapan aja. vibes kamboja vibes2 depresi sama mati muda banget hectic nya (menangis)"
kamboja,,17,"/kle tk-smp di kamboja, sma bawaannya pengen lanjut di smapan aja. vibes kamboja vibes2 depresi sama mati muda banget hectic nya (menangis)"
sma,sekolah menengah atas,17,"/kle tk-smp di kamboja, sma bawaannya pengen lanjut di smapan aja. vibes kamboja vibes2 depresi sama mati muda banget hectic nya (menangis)"
smapan,,17,"/kle tk-smp di kamboja, sma bawaannya pengen lanjut di smapan aja. vibes kamboja vibes2 depresi sama mati muda banget hectic nya (menangis)"
vibes,atmosfer,17,"/kle tk-smp di kamboja, sma bawaannya pengen lanjut di smapan aja. vibes kamboja vibes2 depresi sama mati muda banget hectic nya (menangis)"
hectic,sangat sibuk,17,"/kle tk-smp di kamboja, sma bawaannya pengen lanjut di smapan aja. vibes kamboja vibes2 depresi sama mati muda banget hectic nya (menangis)"
dapet,dapat,18,Dari sidang ini gw dapet penjelasan paling enak soal borderline dan histrionic personality disorder. Assessment dan interpretationnya harus thorough ya. Dijelasin juga beda BPD sama bipolar krn suka ketuker-tuker.
borderline,ambang,18,Dari sidang ini gw dapet penjelasan paling enak soal borderline dan histrionic personality disorder. Assessment dan interpretationnya harus thorough ya. Dijelasin juga beda BPD sama bipolar krn suka ketuker-tuker.
histrionic,dramatis,18,Dari sidang ini gw dapet penjelasan paling enak soal borderline dan histrionic personality disorder. Assessment dan interpretationnya harus thorough ya. Dijelasin juga beda BPD sama bipolar krn suka ketuker-tuker.
personality,kepribadian,18,Dari sidang ini gw dapet penjelasan paling enak soal borderline dan histrionic personality disorder. Assessment dan interpretationnya harus thorough ya. Dijelasin juga beda BPD sama bipolar krn suka ketuker-tuker.
assessment,penilaian,18,Dari sidang ini gw dapet penjelasan paling enak soal borderline dan histrionic personality disorder. Assessment dan interpretationnya harus thorough ya. Dijelasin juga beda BPD sama bipolar krn suka ketuker-tuker.
interpretationnya,interpretasinya,18,Dari sidang ini gw dapet penjelasan paling enak soal borderline dan histrionic personality disorder. Assessment dan interpretationnya harus thorough ya. Dijelasin juga beda BPD sama bipolar krn suka ketuker-tuker.
thorough,teliti,18,Dari sidang ini gw dapet penjelasan paling enak soal borderline dan histrionic personality disorder. Assessment dan interpretationnya harus thorough ya. Dijelasin juga beda BPD sama bipolar krn suka ketuker-tuker.
dijelasin,dijelaskan,18,Dari sidang ini gw dapet penjelasan paling enak soal borderline dan histrionic personality disorder. Assessment dan interpretationnya harus thorough ya. Dijelasin juga beda BPD sama bipolar krn suka ketuker-tuker.
bpd,gangguan kepribadian ambang,18,Dari sidang ini gw dapet penjelasan paling enak soal borderline dan histrionic personality disorder. Assessment dan interpretationnya harus thorough ya. Dijelasin juga beda BPD sama bipolar krn suka ketuker-tuker.
ketuker,tertukar,18,Dari sidang ini gw dapet penjelasan paling enak soal borderline dan histrionic personality disorder. Assessment dan interpretationnya harus thorough ya. Dijelasin juga beda BPD sama bipolar krn suka ketuker-tuker.
tuker,tukar,18,Dari sidang ini gw dapet penjelasan paling enak soal borderline dan histrionic personality disorder. Assessment dan interpretationnya harus thorough ya. Dijelasin juga beda BPD sama bipolar krn suka ketuker-tuker.
sometimes,terkadang,20,sometimes i need rehat from social media . and focus with my skills tanpa mikirin jumlah likes dan hasil ketika di posting bagaimana . makin kesini jadi suka depresi dan stress
i,saya,20,sometimes i need rehat from social media . and focus with my skills tanpa mikirin jumlah likes dan hasil ketika di posting bagaimana . makin kesini jadi suka depresi dan stress
need,perlu,20,sometimes i need rehat from social media . and focus with my skills tanpa mikirin jumlah likes dan hasil ketika di posting bagaimana . makin kesini jadi suka depresi dan stress
from,dari,20,sometimes i need rehat from social media . and focus with my skills tanpa mikirin jumlah likes dan hasil ketika di posting bagaimana . makin kesini jadi suka depresi dan stress
social,sosial,20,sometimes i need rehat from social media . and focus with my skills tanpa mikirin jumlah likes dan hasil ketika di posting bagaimana . makin kesini jadi suka depresi dan stress
and,dan,20,sometimes i need rehat from social media . and focus with my skills tanpa mikirin jumlah likes dan hasil ketika di posting bagaimana . makin kesini jadi suka depresi dan stress
focus,fokus,20,sometimes i need rehat from social media . and focus with my skills tanpa mikirin jumlah likes dan hasil ketika di posting bagaimana . makin kesini jadi suka depresi dan stress
with,dengan,20,sometimes i need rehat from social media . and focus with my skills tanpa mikirin jumlah likes dan hasil ketika di posting bagaimana . makin kesini jadi suka depresi dan stress
my,milikku,20,sometimes i need rehat from social media . and focus with my skills tanpa mikirin jumlah likes dan hasil ketika di posting bagaimana . makin kesini jadi suka depresi dan stress
skills,keterampilan,20,sometimes i need rehat from social media . and focus with my skills tanpa mikirin jumlah likes dan hasil ketika di posting bagaimana . makin kesini jadi suka depresi dan stress
mikirin,memikirkan,20,sometimes i need rehat from social media . and focus with my skills tanpa mikirin jumlah likes dan hasil ketika di posting bagaimana . makin kesini jadi suka depresi dan stress
likes,suka,20,sometimes i need rehat from social media . and focus with my skills tanpa mikirin jumlah likes dan hasil ketika di posting bagaimana . makin kesini jadi suka depresi dan stress
posting,mempos,20,sometimes i need rehat from social media . and focus with my skills tanpa mikirin jumlah likes dan hasil ketika di posting bagaimana . makin kesini jadi suka depresi dan stress
anxiety,kecemasan,22,"@nctzenbase Pertama,gw anxiety disorder yg dibarengin depresi.Gara² itu gw jd insecure parah &amp; gak mau banget difoto/selfie, pikiran juga sering mikir suicide.Sejak kenal NCT,liatin konten² mereka bisa alihkan pikiran bundir gw."
dibarengin,dibarengi,22,"@nctzenbase Pertama,gw anxiety disorder yg dibarengin depresi.Gara² itu gw jd insecure parah &amp; gak mau banget difoto/selfie, pikiran juga sering mikir suicide.Sejak kenal NCT,liatin konten² mereka bisa alihkan pikiran bundir gw."
gara,gara-gara,22,"@nctzenbase Pertama,gw anxiety disorder yg dibarengin depresi.Gara² itu gw jd insecure parah &amp; gak mau banget difoto/selfie, pikiran juga sering mikir suicide.Sejak kenal NCT,liatin konten² mereka bisa alihkan pikiran bundir gw."
jd,jadi,22,"@nctzenbase Pertama,gw anxiety disorder yg dibarengin depresi.Gara² itu gw jd insecure parah &amp; gak mau banget difoto/selfie, pikiran juga sering mikir suicide.Sejak kenal NCT,liatin konten² mereka bisa alihkan pikiran bundir gw."
insecure,merasa tidak aman,22,"@nctzenbase Pertama,gw anxiety disorder yg dibarengin depresi.Gara² itu gw jd insecure parah &amp; gak mau banget difoto/selfie, pikiran juga sering mikir suicide.Sejak kenal NCT,liatin konten² mereka bisa alihkan pikiran bundir gw."
selfie,memotret diri,22,"@nctzenbase Pertama,gw anxiety disorder yg dibarengin depresi.Gara² itu gw jd insecure parah &amp; gak mau banget difoto/selfie, pikiran juga sering mikir suicide.Sejak kenal NCT,liatin konten² mereka bisa alihkan pikiran bundir gw."
mikir,berpikir,22,"@nctzenbase Pertama,gw anxiety disorder yg dibarengin depresi.Gara² itu gw jd insecure parah &amp; gak mau banget difoto/selfie, pikiran juga sering mikir suicide.Sejak kenal NCT,liatin konten² mereka bisa alihkan pikiran bundir gw."
suicide,bunuh diri,22,"@nctzenbase Pertama,gw anxiety disorder yg dibarengin depresi.Gara² itu gw jd insecure parah &amp; gak mau banget difoto/selfie, pikiran juga sering mikir suicide.Sejak kenal NCT,liatin konten² mereka bisa alihkan pikiran bundir gw."
pantesan,pantas saja,23,"Pantesan diluar sana ada ibu2 yg sampe gorok anak2nya. Karna ternyata jd ibu dan jd seorang perempuan gak gampang, jaga biar tetep WARAS tanpa bicara tuh susah bgt. Mungkin ya emak2 yg depresi diluar sono karna gabisa ngeluarin keluhkesah nya🥺"
karna,karena,23,"Pantesan diluar sana ada ibu2 yg sampe gorok anak2nya. Karna ternyata jd ibu dan jd seorang perempuan gak gampang, jaga biar tetep WARAS tanpa bicara tuh susah bgt. Mungkin ya emak2 yg depresi diluar sono karna gabisa ngeluarin keluhkesah nya🥺"
tetep,tetap,23,"Pantesan diluar sana ada ibu2 yg sampe gorok anak2nya. Karna ternyata jd ibu dan jd seorang perempuan gak gampang, jaga biar tetep WARAS tanpa bicara tuh susah bgt. Mungkin ya emak2 yg depresi diluar sono karna gabisa ngeluarin keluhkesah nya🥺"
tuh,itu,23,"Pantesan diluar sana ada ibu2 yg sampe gorok anak2nya. Karna ternyata jd ibu dan jd seorang perempuan gak gampang, jaga biar tetep WARAS tanpa bicara tuh susah bgt. Mungkin ya emak2 yg depresi diluar sono karna gabisa ngeluarin keluhkesah nya🥺"
